Training for 1 epochs (250065 iterations).
Accuracy 0.19768934531450577
Epoch 1
Iteration:  42600 	Average Loss:  1.2862404058434538
Iteration:  42700 	Average Loss:  1.029587009309849
Iteration:  42800 	Average Loss:  1.169185392853203
Iteration:  42900 	Average Loss:  1.4209912990315527
Iteration:  43000 	Average Loss:  1.2868854704668957
Iteration:  43100 	Average Loss:  1.2233439166879538
Iteration:  43200 	Average Loss:  1.2336169576917515
Iteration:  43300 	Average Loss:  1.0894471298079336
Iteration:  43400 	Average Loss:  1.1911836596397776
Iteration:  43500 	Average Loss:  1.2605977359235774
Iteration:  43600 	Average Loss:  1.2002046866299088
Iteration:  43700 	Average Loss:  1.2749185283405842
Iteration:  43800 	Average Loss:  1.19900498726385
Iteration:  43900 	Average Loss:  1.2165272063147765
Iteration:  44000 	Average Loss:  1.1908725170934895
Iteration:  44100 	Average Loss:  1.21012640256872
Iteration:  44200 	Average Loss:  1.2399162713420089
Iteration:  44300 	Average Loss:  1.3154596726286807
Iteration:  44400 	Average Loss:  1.3231232211709563
Iteration:  44500 	Average Loss:  1.2254148482012353
Iteration:  44600 	Average Loss:  1.3208488363588033
Iteration:  44700 	Average Loss:  1.2923568002625685
Iteration:  44800 	Average Loss:  1.336660405551083
Iteration:  44900 	Average Loss:  1.2010874342651574
Iteration:  45000 	Average Loss:  1.2011861229867686
Iteration:  45100 	Average Loss:  1.1132216207100214
Iteration:  45200 	Average Loss:  1.2004675538749714
Iteration:  45300 	Average Loss:  1.4167031773353636
Iteration:  45400 	Average Loss:  1.2863828007872649
Iteration:  45500 	Average Loss:  1.2675853899978793
Iteration:  45600 	Average Loss:  1.139509816645816
Iteration:  45700 	Average Loss:  1.1429109088810805
Iteration:  45800 	Average Loss:  1.2149528807826666
Iteration:  45900 	Average Loss:  1.1092030290329757
Iteration:  46000 	Average Loss:  1.3043707224994623
Iteration:  46100 	Average Loss:  1.2304302166175496
Iteration:  46200 	Average Loss:  1.2753271145659177
Iteration:  46300 	Average Loss:  1.3873403177578294
Iteration:  46400 	Average Loss:  1.2510095250069613
Iteration:  46500 	Average Loss:  1.1717851037963316
Iteration:  46600 	Average Loss:  1.1629888695442534
Iteration:  46700 	Average Loss:  1.3495200112063166
Iteration:  46800 	Average Loss:  1.3415223394290967
Iteration:  46900 	Average Loss:  1.2546805800771264
Iteration:  47000 	Average Loss:  1.1170281980989027
Iteration:  47100 	Average Loss:  1.0874108738737613
Iteration:  47200 	Average Loss:  1.196292666607022
Iteration:  47300 	Average Loss:  1.2549438688175867
Iteration:  47400 	Average Loss:  1.2471936778718158
Iteration:  47500 	Average Loss:  1.0635881189723297
Iteration:  47600 	Average Loss:  1.1477188327792496
Iteration:  47700 	Average Loss:  1.2148669194382287
Iteration:  47800 	Average Loss:  1.2534739183609402
Iteration:  47900 	Average Loss:  1.0577972985062098
Iteration:  48000 	Average Loss:  1.3103956539024721
Iteration:  48100 	Average Loss:  1.2172537795178393
Iteration:  48200 	Average Loss:  1.2908390677540211
Iteration:  48300 	Average Loss:  1.072809081307942
Iteration:  48400 	Average Loss:  1.0874670839848577
Iteration:  48500 	Average Loss:  1.4684566685850406
Iteration:  48600 	Average Loss:  1.2954119201207883
Iteration:  48700 	Average Loss:  1.3415550388434119
Iteration:  48800 	Average Loss:  1.091524551448415
Iteration:  48900 	Average Loss:  1.2035063209178205
Iteration:  49000 	Average Loss:  1.226517630004178
Iteration:  49100 	Average Loss:  1.400454513853049
Iteration:  49200 	Average Loss:  1.2472789120691428
Iteration:  49300 	Average Loss:  1.1947291326955862
Iteration:  49400 	Average Loss:  1.3713476222839842
Iteration:  49500 	Average Loss:  1.2614969337074506
Iteration:  49600 	Average Loss:  1.3806963340176035
Iteration:  49700 	Average Loss:  1.1997114055803455
Iteration:  49800 	Average Loss:  1.2354042318905132
Iteration:  49900 	Average Loss:  1.1371273543529385
Writing snapshot to model_iter_50000.mdl
Iteration:  50000 	Average Loss:  1.059083632437311
Iteration:  50100 	Average Loss:  1.3049562422233962
Iteration:  50200 	Average Loss:  1.3068154582745475
Iteration:  50300 	Average Loss:  1.2300223188993307
Iteration:  50400 	Average Loss:  1.2565404127440727
Iteration:  50500 	Average Loss:  1.3473883583882702
